anxiety	ratings1	depression	ratings2
mild_anxiety	3	mild_depression	3
mild_anxiety	5	mild_depression	3
mild_anxiety	3	mild_depression	2
mild_anxiety	4	mild_depression	2
mild_anxiety	5	mild_depression	3
mild_anxiety	5	mild_depression	4
mild_anxiety	3	mild_depression	2
mild_anxiety	4	mild_depression	3
mild_anxiety	3	mild_depression	1
mild_anxiety	5	mild_depression	5
mild_anxiety	3	mild_depression	1
mild_anxiety	3	mild_depression	4
mild_anxiety	4	mild_depression	2
mild_anxiety	2	mild_depression	1
moderate_anxiety	2	moderate_depression	2
moderate_anxiety	3	moderate_depression	3
moderate_anxiety	3	moderate_depression	4
moderate_anxiety	1	moderate_depression	4
moderate_anxiety	4	moderate_depression	1
moderate_anxiety	1	moderate_depression	4
moderate_anxiety	5	moderate_depression	1
moderate_anxiety	1	moderate_depression	1
moderate_anxiety	4	moderate_depression	3
moderate_anxiety	2	moderate_depression	3
moderate_anxiety	3	moderate_depression	5
moderate_anxiety	2	moderate_depression	5
moderate_anxiety	3	moderate_depression	5
moderate_anxiety	2	moderate_depression	2
severe_anxiety	1	severe_depression	2
severe_anxiety	3	severe_depression	4
severe_anxiety	2	severe_depression	5
severe_anxiety	1	severe_depression	2
severe_anxiety	1	severe_depression	2
severe_anxiety	1	severe_depression	1
severe_anxiety	2	severe_depression	1
severe_anxiety	3	severe_depression	5
severe_anxiety	1	severe_depression	1
severe_anxiety	3	severe_depression	5
severe_anxiety	3	severe_depression	4
severe_anxiety	2	severe_depression	1
severe_anxiety	1	severe_depression	5
severe_anxiety	4	severe_depression	2
