Treatment	mg_dL
control	270
control	236
control	210
control	142
control	280
control	272
control	190
control	220
control	226
control	242
control	220
control	266
control	250
control	318
control	294
control	282
control	234
control	224
control	276
control	282
control	360
control	310
control	280
control	278
control	288
control	288
control	244
control	320
02_day	218
02_day	234
02_day	214
02_day	146
02_day	200
02_day	250
02_day	146
02_day	182
02_day	238
02_day	288
02_day	190
02_day	236
02_day	244
02_day	258
02_day	240
02_day	280
02_day	220
02_day	200
02_day	220
02_day	186
02_day	190
02_day	202
02_day	218
02_day	248
02_day	278
02_day	248
02_day	220
02_day	242
04_day	156
04_day	242
04_day	256
04_day	142
04_day	216
04_day	248
04_day	168
04_day	236
04_day	200
04_day	264
04_day	264
04_day	188
04_day	182
04_day	294
04_day	214
04_day	198
04_day	256
04_day	280
04_day	204
04_day	395
04_day	220
04_day	190
14_Day	196
14_Day	232
14_Day	200
14_Day	242
14_Day	206
14_Day	178
14_Day	184
14_Day	198
14_Day	160
14_Day	182
14_Day	182
14_Day	198
14_Day	182
14_Day	238
14_Day	198
14_Day	188
14_Day	166
14_Day	204
14_Day	182
14_Day	178
14_Day	212
14_Day	164
14_Day	230
14_Day	186
14_Day	162
14_Day	182
14_Day	218
14_Day	170
14_Day	200
14_Day	176
