gender	RTP
male	5
male	2
male	6
male	2
male	3
male	3
male	5
male	3
male	4
male	7
male	1
male	1
male	6
male	7
male	4
male	1
male	2
male	3
male	3
male	5
male	7
male	2
male	3
male	4
male	1
male	1
male	1
male	6
male	6
male	5
male	3
male	1
male	2
male	4
male	2
male	1
male	5
male	4
male	3
male	7
male	6
male	2
male	4
male	2
male	7
male	5
male	5
male	5
male	3
male	6
male	4
male	7
male	5
male	1
male	3
male	3
male	1
male	1
male	5
male	3
male	2
male	5
male	5
male	3
male	3
male	2
male	3
male	3
male	2
male	3
male	7
male	1
male	1
male	4
male	7
male	1
male	3
male	4
male	3
male	5
male	4
male	3
male	7
male	2
male	5
male	2
male	3
male	1
male	6
male	1
male	3
male	4
male	7
male	3
male	3
male	3
male	3
male	3
male	6
male	4
male	4
male	2
male	7
male	7
male	2
male	1
male	3
male	2
male	2
male	1
male	5
male	7
male	7
male	5
male	1
male	6
male	5
male	2
male	3
male	5
male	7
male	3
male	2
male	4
male	3
male	1
male	2
male	2
male	5
male	6
male	6
male	3
male	4
male	5
male	5
male	2
male	7
male	2
male	3
male	4
male	3
male	7
male	1
male	7
male	3
male	5
male	4
male	2
male	4
male	1
male	7
male	3
male	1
male	7
male	6
male	1
male	4
male	6
male	7
male	4
male	7
male	2
male	2
male	7
male	4
male	7
male	3
male	5
male	7
male	3
male	1
male	9
male	14
male	13
male	14
male	12
male	12
male	8
male	8
male	12
male	14
male	14
male	14
male	8
male	8
male	8
male	13
male	14
male	9
male	13
male	8
male	10
male	14
male	8
male	8
male	8
male	10
male	8
male	14
male	13
male	11
male	8
male	13
male	12
male	8
male	13
male	13
male	14
male	13
male	8
male	11
male	12
male	10
male	13
male	10
male	9
male	12
male	10
male	12
male	12
male	14
male	14
male	8
male	12
male	13
male	13
male	14
male	13
male	11
male	8
male	8
male	14
male	14
male	12
male	14
male	14
male	9
male	11
male	8
male	11
male	13
male	8
male	12
male	10
male	13
male	12
male	8
male	14
male	10
male	21
male	28
male	17
male	15
male	24
male	28
male	16
male	23
male	25
male	24
male	28
male	19
male	22
male	26
male	27
male	28
male	27
male	16
male	27
male	22
male	25
male	29
male	22
male	24
male	26
male	18
male	22
male	18
male	25
male	15
male	25
male	17
male	15
male	19
male	15
male	17
male	30
male	25
male	22
male	22
male	21
male	35
male	41
male	38
male	34
male	41
male	40
male	36
male	41
male	45
male	40
male	31
male	39
male	39
male	36
male	44
male	31
female	3
female	6
female	3
female	4
female	6
female	4
female	7
female	6
female	2
female	2
female	4
female	3
female	1
female	5
female	2
female	3
female	5
female	4
female	6
female	6
female	5
female	7
female	5
female	7
female	5
female	6
female	2
female	1
female	1
female	2
female	4
female	1
female	6
female	5
female	2
female	3
female	2
female	6
female	7
female	6
female	6
female	1
female	1
female	5
female	1
female	7
female	6
female	1
female	6
female	7
female	6
female	7
female	4
female	6
female	4
female	4
female	5
female	4
female	7
female	6
female	7
female	5
female	5
female	7
female	5
female	4
female	7
female	3
female	3
female	3
female	4
female	5
female	7
female	5
female	2
female	5
female	2
female	3
female	5
female	5
female	5
female	5
female	5
female	1
female	3
female	7
female	6
female	2
female	4
female	6
female	5
female	6
female	6
female	2
female	6
female	5
female	5
female	1
female	5
female	5
female	4
female	1
female	1
female	1
female	4
female	6
female	1
female	6
female	3
female	6
female	6
female	4
female	6
female	4
female	10
female	13
female	14
female	8
female	10
female	13
female	14
female	12
female	12
female	8
female	14
female	13
female	14
female	11
female	14
female	11
female	11
female	13
female	14
female	12
female	8
female	14
female	11
female	11
female	8
female	13
female	11
female	14
female	12
female	13
female	12
female	11
female	11
female	12
female	12
female	12
female	12
female	10
female	8
female	14
female	8
female	11
female	13
female	14
female	14
female	13
female	9
female	8
female	10
female	15
female	15
female	18
female	25
female	28
female	17
female	28
female	29
female	24
female	16
female	22
female	23
female	25
female	22
female	19
female	20
female	28
female	15
female	19
female	29
female	27
female	27
female	20
female	30
female	26
female	25
female	29
female	41
female	43
female	35
female	44
female	42
female	34
female	40
female	40
female	34
female	40
female	32
