EVENTS	STATUS	STRESS
4.00	0	23
10.00	0	25
7.00	1	19
10.00	1	9
10.00	0	18
29.00	0	33
12.00	1	17
6.00	0	20
14.00	1	21
62.00	1	8
70.00	0	24
70.00	0	27
19.00	1	16
43.00	0	24
10.00	0	12
14.00	1	15
61.00	1	24
22.00	0	14
23.00	1	19
35.00	1	13
56.00	1	21
93.00	0	35
35.00	1	17
51.00	1	17
26.00	0	25
32.00	1	26
5.00	1	20
54.00	0	22
72.00	1	9
41.00	1	17
68.00	1	15
77.00	0	32
15.00	0	24
74.00	0	32
69.00	0	23
45.00	0	28
28.00	0	19
95.00	0	26
21.00	1	19
5.00	1	20
72.00	1	26
66.00	1	18
94.00	0	34
16.00	1	23
34.00	0	27
61.00	1	30
4.00	0	20
77.00	1	19
52.00	0	19
92.00	0	31
50.00	1	19
33.00	1	26
13.00	0	20
53.00	0	36
58.00	1	19
35.00	0	17
98.00	0	27
73.00	0	27
87.00	1	21
24.00	1	7
