exercise_status	gender	hr
runner	M	145
runner	M	151
runner	M	143
runner	M	153
runner	M	158
runner	M	163
runner	M	149
runner	M	135
runner	M	148
runner	M	141
runner	M	144
runner	M	145
runner	M	126
runner	M	152
runner	M	140
runner	M	141
runner	M	148
runner	M	146
runner	M	161
runner	M	152
runner	M	138
runner	M	156
runner	M	168
runner	M	132
runner	M	165
runner	M	154
runner	M	155
runner	M	138
runner	M	142
runner	M	139
runner	M	145
runner	M	159
runner	M	148
runner	M	132
runner	M	157
runner	M	161
runner	M	142
runner	M	147
runner	M	148
runner	M	145
runner	M	134
runner	M	148
runner	M	149
runner	M	149
runner	M	163
runner	M	146
runner	M	149
runner	M	141
runner	M	157
runner	M	134
runner	M	160
runner	M	132
runner	M	143
runner	M	165
runner	M	156
runner	M	149
runner	M	144
runner	M	124
runner	M	166
runner	M	147
runner	M	169
runner	M	143
runner	M	152
runner	M	138
runner	M	139
runner	M	145
runner	M	149
runner	M	151
runner	M	165
runner	M	157
runner	M	157
runner	M	150
runner	M	152
runner	M	154
runner	M	129
runner	M	131
runner	M	153
runner	M	152
runner	M	131
runner	M	147
runner	M	128
runner	M	147
runner	M	150
runner	M	139
runner	M	152
runner	M	139
runner	M	148
runner	M	164
runner	M	141
runner	M	137
runner	M	153
runner	M	159
runner	M	154
runner	M	166
runner	M	162
runner	M	119
runner	M	147
runner	M	144
runner	M	142
runner	M	167
runner	F	157
runner	F	146
runner	F	149
runner	F	164
runner	F	164
runner	F	147
runner	F	151
runner	F	150
runner	F	149
runner	F	173
runner	F	150
runner	F	152
runner	F	166
runner	F	153
runner	F	144
runner	F	143
runner	F	145
runner	F	154
runner	F	164
runner	F	164
runner	F	159
runner	F	149
runner	F	146
runner	F	151
runner	F	140
runner	F	147
runner	F	139
runner	F	152
runner	F	158
runner	F	150
runner	F	149
runner	F	157
runner	F	131
runner	F	139
runner	F	143
runner	F	151
runner	F	151
runner	F	159
runner	F	146
runner	F	155
runner	F	165
runner	F	147
runner	F	162
runner	F	152
runner	F	152
runner	F	146
runner	F	153
runner	F	148
runner	F	139
runner	F	166
runner	F	148
runner	F	149
runner	F	164
runner	F	142
runner	F	139
runner	F	150
runner	F	160
runner	F	158
runner	F	160
runner	F	148
runner	F	156
runner	F	156
runner	F	154
runner	F	160
runner	F	147
runner	F	163
runner	F	158
runner	F	138
runner	F	145
runner	F	146
runner	F	146
runner	F	155
runner	F	146
runner	F	130
runner	F	153
runner	F	153
runner	F	159
runner	F	148
runner	F	150
runner	F	145
runner	F	148
runner	F	169
runner	F	144
runner	F	150
runner	F	158
runner	F	155
runner	F	154
runner	F	154
runner	F	156
runner	F	158
runner	F	154
runner	F	166
runner	F	158
runner	F	158
runner	F	154
runner	F	146
runner	F	158
runner	F	157
runner	F	140
runner	F	161
sedentary	M	179
sedentary	M	235
sedentary	M	170
sedentary	M	196
sedentary	M	205
sedentary	M	208
sedentary	M	203
sedentary	M	196
sedentary	M	158
sedentary	M	172
sedentary	M	197
sedentary	M	169
sedentary	M	202
sedentary	M	187
sedentary	M	213
sedentary	M	197
sedentary	M	177
sedentary	M	213
sedentary	M	182
sedentary	M	204
sedentary	M	209
sedentary	M	206
sedentary	M	167
sedentary	M	181
sedentary	M	169
sedentary	M	212
sedentary	M	199
sedentary	M	203
sedentary	M	211
sedentary	M	193
sedentary	M	171
sedentary	M	210
sedentary	M	223
sedentary	M	212
sedentary	M	171
sedentary	M	170
sedentary	M	204
sedentary	M	193
sedentary	M	194
sedentary	M	212
sedentary	M	192
sedentary	M	190
